run_id,run_number,date,url,workflow_sha,mode,gh_aw_version,gh_aw_commit,gh_aw_committed_at,time_to_complete_seconds,agent_job_seconds,copilot_step_seconds,detection_job_seconds,time_to_proxy_step_seconds,proxy_step_to_first_reasoning_seconds,time_to_first_reasoning_seconds
27805721716,145,2026-06-19T04:37:50Z,https://github.com/githubnext/gh-aw-test/actions/runs/27805721716,5864ce1e6a349f5eab3f1668f32addf437b58aee,inference,393419b2fb,393419b2fbab303f5aa910484922a44bea92e7ef,2026-06-19T04:19:18Z,292.0,81.0,34.0,63.0,87.0,30.044,117.044
27807257157,146,2026-06-19T05:24:34Z,https://github.com/githubnext/gh-aw-test/actions/runs/27807257157,6066782d05185343eda5e771df2501a519675b30,samples,e004d902eb,e004d902ebe4c4d1e6c3396bccd47b0b2d13f1dd,2026-06-19T05:11:17Z,196.0,39.0,,,97.0,0.0,97.0
27847012015,147,2026-06-19T20:28:32Z,https://github.com/githubnext/gh-aw-test/actions/runs/27847012015,50d623adee884a3e7c5791db8f1863a43e907e03,samples,v0.80.6-11-g54da220d38,54da220d385bc6e193f9a0256ddf4b708cd3ef97,2026-06-19T19:57:27Z,187.0,44.0,,,98.0,0.0,98.0
27860318787,148,2026-06-20T04:34:30Z,https://github.com/githubnext/gh-aw-test/actions/runs/27860318787,f48f2df5b85aaaee5eed3963f1b56779163fb54a,inference,9ad5040c3f,9ad5040c3f6f71f781d6b384b2b39c9697a4aa87,2026-06-20T02:56:40Z,295.0,74.0,28.0,56.0,91.0,23.762,114.762
27867491212,149,2026-06-20T09:49:00Z,https://github.com/githubnext/gh-aw-test/actions/runs/27867491212,60702d68a8ef03f5143bc98d6942bbc576d3b1d6,samples,v0.80.6-22-ge1d2f30e59,e1d2f30e59a8beae8c5a6c97cd9eedd5fc573753,2026-06-20T05:58:06Z,175.0,36.0,,,89.0,1.0,90.0
27902558851,150,2026-06-21T11:16:08Z,https://github.com/githubnext/gh-aw-test/actions/runs/27902558851,de1b226cff6a5c4b73222d15e3fae05238e48e07,inference,11621ebf85,11621ebf85863108936f4fd301e576086acf6847,2026-06-21T11:00:20Z,286.0,71.0,31.0,66.0,84.0,27.214,111.214
28007730114,161,2026-06-23T06:46:36Z,https://github.com/githubnext/gh-aw-test/actions/runs/28007730114,53dbfa5ac1d0c99c6c6b27759aff97b80454eb94,samples,v0.80.8,a4018535fc14d86a805df01f7381f936a356f0f2,2026-06-22T00:13:27Z,130.0,34.0,,,61.0,0.0,61.0
27929948232,151,2026-06-22T04:38:18Z,https://github.com/githubnext/gh-aw-test/actions/runs/27929948232,a1e9080e3a798b0b22f8427be34bd13a6ea8497c,inference,48f9e0c507,48f9e0c507b758637246ec70e83407518f8e23e3,2026-06-22T02:51:26Z,300.0,79.0,29.0,68.0,90.0,24.547,114.547
27957819078,152,2026-06-22T13:52:47Z,https://github.com/githubnext/gh-aw-test/actions/runs/27957819078,c017b21afd2169c201c0e31e2a04de03a97a9bed,inference,v0.80.9,a3624368c4e7d877586ff2784b61de73405e2cdd,2026-06-22T06:39:52Z,310.0,67.0,26.0,69.0,103.0,22.444,125.444
27980997744,158,2026-06-22T20:13:46Z,https://github.com/githubnext/gh-aw-test/actions/runs/27980997744,e94753f7e165db1ce8eaa6212cb62e96cf94ba81,samples,v0.80.9,a3624368c4e7d877586ff2784b61de73405e2cdd,2026-06-22T06:39:52Z,187.0,79.0,,,117.0,0.0,117.0
28010060361,162,2026-06-23T07:34:24Z,https://github.com/githubnext/gh-aw-test/actions/runs/28010060361,2d739e4e2d647b2c66a834c7b98f4277f7eb113b,samples,v0.80.9,a3624368c4e7d877586ff2784b61de73405e2cdd,2026-06-22T06:39:52Z,122.0,39.0,,,63.0,0.0,63.0
28080620168,165,2026-06-24T06:48:32Z,https://github.com/githubnext/gh-aw-test/actions/runs/28080620168,9a967d17eee0f22304c0ed98da2045452841ba02,samples,v0.80.9,a3624368c4e7d877586ff2784b61de73405e2cdd,2026-06-22T06:39:52Z,154.0,40.0,,,76.0,0.0,76.0
28218289083,170,2026-06-26T05:02:35Z,https://github.com/githubnext/gh-aw-test/actions/runs/28218289083,becf046aac0b133354e03d6b34ace94f85bfed6f,samples,v0.80.9,a3624368c4e7d877586ff2784b61de73405e2cdd,2026-06-22T06:39:52Z,125.0,35.0,,,68.0,0.0,68.0
28279080378,173,2026-06-27T04:50:52Z,https://github.com/githubnext/gh-aw-test/actions/runs/28279080378,8c970efe709e059add1867626e9cdcc4cd37accd,samples,v0.80.9,a3624368c4e7d877586ff2784b61de73405e2cdd,2026-06-22T06:39:52Z,123.0,33.0,,,61.0,0.0,61.0
28311968386,176,2026-06-28T05:00:12Z,https://github.com/githubnext/gh-aw-test/actions/runs/28311968386,9fadb5483fe685fc3c7478d880b6a9f161903c3b,samples,v0.80.9,a3624368c4e7d877586ff2784b61de73405e2cdd,2026-06-22T06:39:52Z,156.0,47.0,,,74.0,1.0,75.0
28350016186,179,2026-06-29T05:09:29Z,https://github.com/githubnext/gh-aw-test/actions/runs/28350016186,0b549e5a84e2fc5fff3d804a3cd34eb70bac65d0,samples,v0.80.9,a3624368c4e7d877586ff2784b61de73405e2cdd,2026-06-22T06:39:52Z,144.0,35.0,,,89.0,0.0,89.0
27966398112,153,2026-06-22T16:04:22Z,https://github.com/githubnext/gh-aw-test/actions/runs/27966398112,c9786648403e377d0ccbe0172c977e7d354c03a9,inference,42a1743825,42a1743825aa4def53a0b6f1d7a7bdff5c90f685,2026-06-22T14:43:45Z,374.0,89.0,31.0,82.0,156.0,26.78,182.78
27969702756,154,2026-06-22T16:58:37Z,https://github.com/githubnext/gh-aw-test/actions/runs/27969702756,9ca6123cbec689294fc405b270ad142cd8ca14ec,samples,efe940eb13,efe940eb13d078d6f3d3f6547ad739f72fc5c6ee,2026-06-22T16:39:35Z,240.0,69.0,,,134.0,0.0,134.0
27970094123,155,2026-06-22T17:05:12Z,https://github.com/githubnext/gh-aw-test/actions/runs/27970094123,a1ec1ffb25b389b6b4ca828c91174fc225db56bc,inference,5fdf022bd5,5fdf022bd58148e85db2180d4f2905dba2858fd1,2026-06-22T17:02:46Z,315.0,77.0,32.0,63.0,100.0,28.471,128.471
27974839626,156,2026-06-22T18:26:35Z,https://github.com/githubnext/gh-aw-test/actions/runs/27974839626,8a85925ccfb0009a123ef773429d84de04b9bd2d,samples,d55b907fd2,d55b907fd2d7dc8e465a4ca272ba294ca355ee50,2026-06-22T17:46:30Z,237.0,54.0,,,127.0,0.0,127.0
28002287151,159,2026-06-23T04:30:29Z,https://github.com/githubnext/gh-aw-test/actions/runs/28002287151,0813a335780d032652748b4a284c30d70e753c8b,inference,af58d8c1ad,af58d8c1ad2c970d1266170414eb180d919b46dd,2026-06-23T04:16:07Z,325.0,84.0,38.0,63.0,120.0,33.652,153.652
28005263275,160,2026-06-23T05:49:57Z,https://github.com/githubnext/gh-aw-test/actions/runs/28005263275,ade822bae75aaa6fac142343ee762d7ca745f04f,samples,709febe6be,709febe6be94f5506e285c40ceebeacf47d9376a,2026-06-23T05:31:13Z,184.0,35.0,,,82.0,1.0,83.0
28075303252,163,2026-06-24T04:31:58Z,https://github.com/githubnext/gh-aw-test/actions/runs/28075303252,863084e93ad7b01ff37c3dd3a35fba9eff0b1549,inference,v0.81.2,433c534f2589b5ae3bffc666a09c02dc8004a837,2026-06-24T03:34:55Z,304.0,78.0,31.0,71.0,92.0,26.813,118.813
28082735279,166,2026-06-24T07:32:37Z,https://github.com/githubnext/gh-aw-test/actions/runs/28082735279,438040f090d03f0947a54e477746957afbca83ff,samples,v0.81.2,433c534f2589b5ae3bffc666a09c02dc8004a837,2026-06-24T03:34:55Z,140.0,40.0,,,72.0,0.0,72.0
28078251384,164,2026-06-24T05:52:21Z,https://github.com/githubnext/gh-aw-test/actions/runs/28078251384,acfd53af748a83d132c2afee1e13f74b81b26f27,samples,5373e080d7,5373e080d7333c296810f807d16e25484412cd00,2026-06-24T05:01:18Z,245.0,61.0,,,119.0,0.0,119.0
28149856514,168,2026-06-25T05:51:31Z,https://github.com/githubnext/gh-aw-test/actions/runs/28149856514,6dc7db8b2419993174ac0b3a055a7b2de6700ef7,samples,fb1020c051,fb1020c0514ffc99526ea793ff52ff561371f4d3,2026-06-25T05:21:56Z,224.0,55.0,,,114.0,0.0,114.0
32516874360,295,2026-08-21T19:07:53Z,https://github.com/githubnext/gh-aw-test/actions/runs/32516874360,add0fc08e27e6557aac626f21ebb7b17c55eaff8,inference,v0.81.3-44-g42b108eaae,42b108eaae3ac36f6ab5ecb1ea5bcb664cfbb784,2026-06-25T23:35:56Z,341.0,95.0,31.0,67.0,143.0,26.749,169.749
28219079099,171,2026-06-26T05:26:09Z,https://github.com/githubnext/gh-aw-test/actions/runs/28219079099,99af21619668caef23b9d94b846739557aee84a2,samples,v0.81.4,1db7b9b617011f63a991644b80bfd7e4a044c34e,2026-06-26T03:58:10Z,121.0,30.0,,,59.0,0.0,59.0
28217400854,169,2026-06-26T04:35:36Z,https://github.com/githubnext/gh-aw-test/actions/runs/28217400854,8f9757a5cc8e8f72f0d9bd047554a669d3b0cb5b,samples,v0.81.4-1-g27b2f4f2cf,27b2f4f2cf5196411315c1789cc6d4db8d232ad6,2026-06-26T04:31:35Z,263.0,56.0,,,101.0,0.0,101.0
32517745517,296,2026-08-21T19:17:57Z,https://github.com/githubnext/gh-aw-test/actions/runs/32517745517,0979ee4159f676ef40c150c651bba3faaa66f62a,inference,v0.81.4-69-g95b5cd98a9,95b5cd98a9b94d9eee85349ffca3ebf35d76aad2,2026-06-26T23:03:42Z,284.0,87.0,28.0,81.0,93.0,23.781,116.781
28279717728,174,2026-06-27T05:20:08Z,https://github.com/githubnext/gh-aw-test/actions/runs/28279717728,c4a478f3ee5c44a3c0ddf3e0677fff45441069ec,samples,v0.81.5,f414fc71e36a3950e056639a12799fdf281e9c4f,2026-06-27T00:34:34Z,118.0,31.0,,,53.0,1.0,54.0
28278577935,172,2026-06-27T04:28:10Z,https://github.com/githubnext/gh-aw-test/actions/runs/28278577935,a78c4b5bb9cc83711fc6bb3cc4731e939fba130e,samples,bc0a5e4c9d,bc0a5e4c9d3c28726bc9a5685b7ba70f357c9884,2026-06-27T03:31:53Z,200.0,38.0,,,107.0,0.0,107.0
